date,title
2023-12-07 12:00:00,Sustainable Development Goals (SDG) Indicators 2022 (Malaysia & State)
2023-12-08 12:00:00,Monthly Principal Statistics of Labour Force
2023-12-08 12:00:00,"Monthly Rubber Statistics, October 2023"
2023-12-08 12:00:00,Special Release 1 - For Civil Engineering Works Peninsular Malaysia
2023-12-08 12:00:00,Special Release 1 - For Civil Engineering Works Sabah and Sarawak
2023-12-08 12:00:00,Special Release 2 - For Building and Structural Works
2023-12-08 12:00:00,Special Release 2 - For Building and Structural Works Sabah and Sarawak
2023-12-08 12:00:00,Special Release 3 - For Mechanical and Electrical Works Malaysia
2023-12-11 12:00:00,Index of Industrial Production Malaysia
2023-12-11 12:00:00,"Monthly Manufacturing Statistics, Malaysia"
2023-12-11 12:00:00,Performance of Wholesale & Retail Trade
2023-12-13 12:00:00,"Statistics on Women Empowerment In Selected Domains, Malaysia"
2023-12-15 12:00:00,"Mining of Petroleum and Natural Gas Statistics, Third Quarter 2023"
2023-12-15 12:00:00,"Intercensal Mid-Year Population Estimates, Malaysia and States, 2011-2019"
2023-12-15 12:00:00,"Malaysia Input-Output Tables, 2021"
2023-12-15 12:00:00,Environment Statistics (States) - 14 publications
2023-12-19 12:00:00,Monthly External Trade Statistics
2023-12-19 12:00:00,"National Economic Accounts, 2015-2021"
2023-12-20 12:00:00,"Statistics Yearbook, Sabah"
2023-12-20 12:00:00,"External Trade Statistics, Sarawak"
2023-12-22 12:00:00,Consumer Price Index Malaysia
2023-12-22 12:00:00,"Malaysian Economic Indicators: Leading, Coincident & Lagging Indexes"
2023-12-27 12:00:00,Producer Price Index - Local Production
2023-12-28 12:00:00,Malaysia External Trade Indices
2023-12-28 12:00:00,Export Import Statistics by State
2023-12-29 12:00:00,Monthly Statistical Bulletin Malaysia
2023-12-29 12:00:00,"Malaysian Economic Statistics Review (MESR), Volume 12/2023"
